,0,1,2,3,4,5,6,7,8,9,10
2017/1/1,0.789217177,-3.483014455,-3.20393985,-4.169357676,0.29630128,0.019293655,-1.615406531,-1.316319442,1.253093216,0.106181075,-0.243620366
2017/1/2,1.22918543,-2.261822398,-3.842670389,-3.631089675,0.368158934,0.101030996,-0.802235941,-0.755551963,4.692051961,0.127563587,0.117087563
2017/1/3,9.099729123,-1.202686933,-2.189042762,-3.367250699,0.314526311,0.056867624,-0.71247327,-1.359664429,3.304794488,0.082711825,0.059757724
2017/1/4,7.847014047,-0.712862222,-1.695389574,-0.99948447,-0.736321872,-0.151166633,-0.874063326,-1.090375923,1.273789982,-0.076180058,-0.13356753
2017/1/5,2.679664095,-0.541890398,-0.542855552,-1.785175567,0.216565864,0.08765564,-1.120290981,-0.767950533,1.140084963,0.157029945,0.285380375
2017/1/6,2.759917633,-0.528947473,-3.553703118,-1.790671641,0.419640232,0.127135249,-1.122556113,-0.720532306,5.387401824,0.111205989,0.002380397
2017/1/7,2.396903634,-1.313122806,-4.436598421,-3.799171307,-0.097436659,-0.344274231,-1.712890542,-0.723690977,-2.045229796,-0.265384726,-0.555940407
2017/1/8,2.094501453,-3.812650298,-3.537465621,-2.946259154,0.305120295,0.080722322,-1.02823331,-0.914542494,2.850005735,0.088782425,0.082151312
2017/1/9,2.44366422,-0.541704359,-4.806803891,-3.468999646,0.134268602,-0.094547233,-1.726422552,-1.672010017,-0.604658193,-0.018336866,-0.169788597
2017/1/10,1.839145833,-0.902714204,-1.503175494,-4.520639941,0.241637744,-0.099585271,-1.10834119,-0.574158172,5.496410268,0.045842293,-0.159814967
2017/1/11,2.779796076,-0.706193006,-4.327141595,-5.932040054,0.252602209,0.015598321,-1.209787396,-0.406354168,2.75844799,0.034741885,-0.098717696
2017/1/12,1.974608042,-1.263130496,-2.82947337,-3.269046255,0.263415874,0.045820541,-1.349965579,-0.984456548,3.721621527,0.080896111,-0.144604637
2017/1/13,2.449342001,-2.981377149,-0.883578831,-2.333029945,0.318819556,0.146440627,-0.499689318,-0.407168472,6.02964786,0.097293374,0.176795623
2017/1/14,1.959250341,-0.810923152,-1.563758749,-3.400420624,0.329014132,0.081727316,-0.928692403,-0.670157711,0.700570643,0.043260794,0.21317811
2017/1/15,2.355777088,-0.418047462,-2.773926986,-4.492883296,0.262976342,-0.027503998,-1.065715602,-0.420302237,3.770394285,0.029252514,-0.375773157
2017/1/16,1.622392354,-0.979046136,-7.859392386,0.301446009,0.378701227,0.162784556,-0.511927879,-0.369637148,4.297377411,0.104277554,0.257343138
2017/1/17,2.164538322,-0.708783721,-2.770999448,-0.576617477,0.561154917,0.238710502,-0.454835624,-0.16630922,2.663157589,0.126345165,0.1882213
2017/1/18,2.464888441,-1.6612745,0.628532465,0.736554189,-0.71501834,0.216612524,-1.638255515,-0.91899286,0.808096685,0.187334562,-0.100566344
2017/1/19,2.074423743,-2.566352856,-3.075012884,-1.325436379,-0.703415522,-0.198029226,-0.969332501,-1.816399833,2.544479063,-0.259927833,-0.427928521
2017/1/20,0.775921961,-0.796616901,-5.354134323,-2.053552237,-0.344103976,-0.039386993,-0.299604094,-1.36011008,0.741052271,-0.046646016,0.279479561
2017/1/21,1.256763791,-0.185254996,-5.0036602,-1.336767231,-0.593656441,0.215729601,-0.320338332,-0.363126763,1.260946627,0.142835441,0.402303829
2017/1/22,1.404435024,-1.141774371,-4.171420183,0.182151714,-0.01022262,-1.052160861,-1.604892575,-1.360810312,0.06155458,-0.054960711,-3.950629883
2017/1/23,1.053518047,-0.681318955,-5.433844749,-0.459389016,0.378748932,0.032143178,-0.860921687,-0.672199516,1.998868196,0.118802368,0.191864483
2017/1/24,1.225916773,-1.427113164,-4.263950903,1.015685571,0.193877467,0.149398175,-1.384496414,-0.923762571,0.305640527,0.115386565,-0.04954158
2017/1/25,0.612838174,-0.314118611,-5.347344382,-0.017239099,0.345115319,0.06517607,-1.096439971,-0.931568172,2.631152601,0.030802584,-0.035781472
2017/1/26,1.130189295,-0.782163032,-3.991113073,2.063130228,-0.88494353,-0.034646898,-1.254347703,-0.687679043,-0.517773817,0.019582085,0.129072434
